3	0.1
202	0.05
203	0.78
402	0.59
602	0.34
1001	0.0
1002	0.49
1003	0.44
1202	1.42
1203	0.93
1401	0.2
1403	2.69
1601	0.24
1602	1.32
1603	1.07
1802	0.34
2001	0.29
2002	1.42
2003	0.68
2201	0.34
2202	0.59
2203	3.81
2402	2.05
2403	1.22
2602	1.17
2603	6.4
2802	0.0
2803	3.52
3001	0.2
3002	0.63
3003	1.81
3202	2.0
3203	2.1
3402	0.2
3403	5.18
3602	0.59
3603	2.54
3802	0.98
3803	5.37
4000	0.05
4002	0.49
4003	5.08
4203	6.15
4402	0.59
4403	1.17
4602	0.05
4603	3.61
4802	0.1
4803	2.73
5003	2.15
5202	0.2
5203	4.15
5403	5.62
5603	2.1
5803	0.93
6002	0.05
6003	1.9
6203	0.44
6403	0.98
6603	2.59
6803	1.95
7003	0.54
7403	0.39
7803	0.1
8003	0.78
8203	0.59
8803	0.1
9403	0.05
9603	0.29
11003	0.05
