cost	iter 1	iter 500
3	0.0	3.71
202	0.05	7.08
203	0.05	24.409999999999997
402	0.1	39.16
602	0.15000000000000002	46.779999999999994
1001	0.15000000000000002	48.38999999999999
1002	0.2	48.92999999999999
1003	0.30000000000000004	50.58999999999999
1202	0.79	54.58999999999999
1203	0.79	59.56999999999999
1401	0.9400000000000001	59.91
1403	1.62	74.12
1601	1.62	74.61
1602	1.77	78.52
1603	1.92	82.17999999999999
1802	2.07	84.52
2001	2.07	84.52
2002	2.17	87.45
2003	2.41	87.74000000000001
2201	2.56	87.79
2202	2.7600000000000002	87.94000000000001
2203	3.49	89.84000000000002
2402	3.64	90.52000000000002
2403	3.93	91.15000000000002
2602	4.03	91.64000000000001
2603	6.28	95.06000000000002
2802	6.28	95.16000000000001
2803	7.0600000000000005	96.97000000000001
3001	7.4	96.97000000000001
3002	7.6000000000000005	97.56000000000002
3003	8.33	97.80000000000001
3202	9.31	98.58000000000001
3203	10.530000000000001	98.63000000000001
3402	10.680000000000001	98.68
3403	13.170000000000002	98.88000000000001
3602	13.220000000000002	98.93
3603	14.340000000000003	99.03
3802	14.680000000000003	99.08
3803	17.070000000000004	99.28
4000	17.070000000000004	99.28
4002	17.270000000000003	99.28
4003	20.35	99.48
4203	23.43	99.82000000000001
4402	23.58	99.87
4403	25.04	99.87
4602	25.09	99.97
4603	27.92	99.97
4802	27.970000000000002	99.97
4803	31.14	99.97
5003	33.53	99.97
5202	33.53	99.97
5203	37.78	99.97
5403	44.08	100.02
5603	45.01	100.02
5803	47.839999999999996	100.02
6002	47.839999999999996	100.02
6003	52.13999999999999	100.02
6203	53.169999999999995	100.02
6403	55.99999999999999	100.02
6603	61.75999999999999	100.02
6803	67.17999999999999	100.02
7003	69.08	100.02
7403	72.01	100.02
7803	77.28	100.02
8003	79.53	100.02
8203	87.78	100.02
8803	89.64	100.02
9403	92.81	100.02
9603	96.37	100.02
11003	100.03	100.02
