no_colors	iter 1	iter 2	iter 3	iter 4	iter 5	iter 6	iter 7	iter 8	iter 9
0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
1	1.34	1.34	1.31	1.31	1.31	1.31	1.27	1.29	1.27
2	17.7	17.7	17.619999999999997	17.59	17.59	17.419999999999998	17.33	17.38	17.16
3	100.0	100.0	99.99000000000001	99.99000000000001	99.99000000000001	99.99	100.0	100.0	100.0
