cost	iter 1	iter 100
3	0.1	3.03
22	0.15000000000000002	5.859999999999999
23	0.93	19.09
42	1.52	29.83
62	1.86	35.3
101	1.86	36.72
102	2.35	39.06
103	2.79	42.67
122	4.21	51.650000000000006
123	5.14	55.75000000000001
141	5.34	56.63000000000001
143	8.03	67.42000000000002
161	8.27	68.59000000000002
162	9.59	72.06000000000002
163	10.66	75.33000000000001
182	11.0	76.94000000000001
201	11.29	77.14000000000001
202	12.709999999999999	81.10000000000001
203	13.389999999999999	81.69000000000001
221	13.729999999999999	82.57000000000001
222	14.319999999999999	82.96000000000001
223	18.13	86.62
242	20.18	89.01
243	21.4	89.60000000000001
262	22.57	90.53000000000002
263	28.97	93.26000000000002
282	28.97	93.31000000000002
283	32.49	95.12000000000002
301	32.690000000000005	95.36000000000001
302	33.32000000000001	95.60000000000001
303	35.13000000000001	96.43
322	37.13000000000001	97.55000000000001
323	39.23000000000001	97.84000000000002
342	39.430000000000014	97.89000000000001
343	44.610000000000014	98.92000000000002
362	45.20000000000002	98.92000000000002
363	47.740000000000016	99.02000000000001
382	48.72000000000001	99.22000000000001
383	54.09000000000001	99.46000000000001
400	54.14000000000001	99.46000000000001
402	54.63000000000001	99.51
403	59.71000000000001	99.56
423	65.86000000000001	99.8
442	66.45000000000002	99.85
443	67.62000000000002	99.85
462	67.67000000000002	99.89999999999999
463	71.28000000000002	99.89999999999999
482	71.38000000000001	99.89999999999999
483	74.11000000000001	99.99999999999999
503	76.26000000000002	99.99999999999999
522	76.46000000000002	99.99999999999999
523	80.61000000000003	99.99999999999999
543	86.23000000000003	99.99999999999999
563	88.33000000000003	99.99999999999999
583	89.26000000000003	99.99999999999999
602	89.31000000000003	99.99999999999999
603	91.21000000000004	99.99999999999999
623	91.65000000000003	99.99999999999999
643	92.63000000000004	99.99999999999999
663	95.22000000000004	99.99999999999999
683	97.17000000000004	99.99999999999999
703	97.71000000000005	99.99999999999999
743	98.10000000000005	99.99999999999999
783	98.20000000000005	99.99999999999999
803	98.98000000000005	99.99999999999999
823	99.57000000000005	99.99999999999999
883	99.67000000000004	99.99999999999999
943	99.72000000000004	99.99999999999999
963	100.01000000000005	99.99999999999999
1103	100.06000000000004	99.99999999999999
