no_colors	iter 1	iter 2	iter 3	iter 4	iter 5	iter 6	iter 7	iter 8	iter 9
0	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
1	1.32	1.32	1.29	1.29	1.29	1.29	1.25	1.27	1.25
2	16.36	16.36	16.31	16.28	16.28	16.11	16.06	16.09	15.89
3	82.3	82.3	82.37	82.4	82.4	82.57	82.67	82.62	82.84
