4.82	0.15	19.58
5.23	0.15	19.97
6.05	0.34	18.12
2002.00	0.20	1.71
2002.41	1.12	4.98
2003.23	0.59	2.78
2003.41	1.37	3.47
2003.64	0.78	3.71
2004.00	0.44	0.39
2004.64	2.93	7.18
2004.82	1.12	2.44
2005.23	0.63	0.98
2005.82	0.73	0.15
2006.05	0.34	0.83
2006.46	0.24	0.49
2006.64	1.42	0.73
2006.82	0.39	0.54
2007.05	2.20	1.76
2007.23	1.27	0.68
2007.28	0.24	0.39
2008.46	0.24	0.15
2009.28	0.20	0.10
2009.69	0.10	0.15
4000.00	0.78	0.93
4001.00	0.59	0.73
4001.41	0.54	0.49
4002.00	0.98	0.05
4002.23	0.44	0.93
4002.41	2.64	0.15
4002.82	0.24	0.15
4003.23	1.56	0.05
4003.41	2.54	0.05
4003.64	1.32	0.20
4003.82	0.68	0.00
4004.23	0.78	0.05
4004.41	0.63	0.00
4004.46	0.20	0.10
4004.64	2.88	0.10
4005.05	0.73	0.00
4005.41	0.63	0.05
4005.46	1.22	0.00
4005.64	1.07	0.05
4005.82	1.12	0.15
4005.87	0.83	0.00
4006.05	1.42	0.05
4006.64	1.12	0.05
4006.87	0.24	0.05
4007.05	2.25	0.15
4007.87	0.68	0.05
4008.28	1.03	0.05
4008.64	0.24	0.00
4009.05	1.22	0.05
4009.23	0.44	0.05
4009.46	1.42	0.00
4009.64	0.05	0.00
4009.87	0.29	0.00
4010.05	0.24	0.00
4010.46	0.44	0.05
4010.69	0.15	0.00
4011.28	0.10	0.00
4011.69	0.24	0.00
4012.10	0.10	0.05
6000.00	0.54	0.49
6002.00	0.44	0.05
6002.82	0.44	0.15
6003.41	1.07	0.10
6004.00	0.54	0.00
6004.41	1.71	0.05
6004.46	0.83	0.24
6004.64	1.90	0.39
6004.82	2.44	0.05
6005.64	2.88	0.15
6006.05	2.98	0.00
6006.46	0.83	0.00
6006.64	0.88	0.00
6006.82	0.34	0.00
6006.87	2.64	0.20
6007.05	2.00	0.05
6007.28	1.03	0.00
6008.05	1.12	0.10
6008.23	0.63	0.05
6008.64	0.78	0.10
6009.28	0.44	0.05
6009.46	1.76	0.10
6009.87	0.54	0.05
6010.69	0.78	0.10
6012.46	0.05	0.00
6012.87	0.24	0.00
6013.69	0.05	0.00
8006.41	0.34	0.05
8006.82	1.71	0.20
8007.05	0.49	0.00
8007.87	0.49	0.05
8008.05	3.42	0.34
8008.28	0.34	0.00
8008.46	0.59	0.00
8008.87	0.68	0.00
8009.05	1.46	0.00
8009.28	2.39	0.49
8009.46	0.59	0.00
8009.69	0.39	0.00
8011.05	0.05	0.00
8011.46	0.63	0.00
8011.64	0.20	0.00
8011.87	0.54	0.00
8012.28	0.34	0.00
8012.46	0.10	0.05
8012.87	0.15	0.00
8013.10	0.24	0.00
8013.28	0.05	0.00
8013.69	0.20	0.00
8014.10	0.05	0.00
10010.05	0.15	0.00
10010.23	0.34	0.00
10010.46	0.05	0.00
10011.05	0.10	0.00
10011.28	0.05	0.00
10011.46	0.59	0.10
10011.69	0.44	0.00
10011.87	0.05	0.00
10012.28	0.20	0.00
10012.69	0.34	0.10
10013.10	0.05	0.00
12011.28	0.05	0.00
12011.46	0.10	0.00
12012.10	0.15	0.00
12014.87	0.20	0.00
12015.69	0.05	0.00
14013.46	0.00	0.05
14013.64	0.05	0.00
14014.10	0.05	0.00
14015.51	0.10	0.00
14016.10	0.05	0.00
18018.10	0.10	0.05
18018.92	0.00	0.05
18019.51	0.20	0.00
